Chromosome	Start	End	Segment_Mean
chr1	69413	634434	1.341208
chr1	728575	16574866	-0.09341
chr1	16574867	16650485	0.000951
chr1	16682548	18631945	-0.060538
chr1	18634006	19449566	0.520655
chr1	19482963	39205434	-0.059065
chr1	39230896	39789126	0.555722
chr1	39840788	77566479	-0.022088
chr1	77568070	78081095	-0.397805
chr1	78094693	114860068	0.00026
chr1	114860428	114995014	-0.837302
chr1	114995015	201193682	0.03452
chr1	201193683	202013544	0.452243
chr1	202013614	247878115	0.005204
chr1	247895293	248929088	0.39114
chr2	38572	55316313	-0.052652
chr2	55316963	55867627	-0.436011
chr2	55870481	135979629	-0.046439
chr2	135983049	169257505	0.064518
chr2	169258742	178503987	-0.067672
chr2	178503988	178619167	0.411343
chr2	178619322	242034002	-0.024258
chr3	155894	195619997	-0.019566
chr3	195619998	197299579	-0.152425
chr3	197341301	198177415	0.248877
chr4	53070	67261382	-0.050094
chr4	67335901	67678845	-0.426901
chr4	67681261	91887460	-0.016757
chr4	92022030	94208153	-0.696317
chr4	94208154	109941393	-0.007375
chr4	109943027	112904837	-0.437036
chr4	112984583	127882210	0.010121
chr4	127883023	128121997	-0.446081
chr4	128121998	183511418	0.000946
chr4	183578289	184652438	-0.881488
chr4	184656789	184851437	0.009577
chr4	184937544	185363051	-1.013338
chr4	185363062	185525516	-0.09653
chr4	185535016	185921697	-0.950355
chr4	185955914	186593048	-0.118019
chr4	186595312	188004977	-0.783561
chr4	188090944	190068878	-0.166914
chr5	99682	140360877	-0.045426
chr5	140361011	146130424	0.102157
chr5	146130671	181261347	-0.0157
chr6	152441	11134721	-0.079257
chr6	11134722	11582993	0.575066
chr6	11582994	29942431	-0.006657
chr6	29942432	29944210	-0.005155
chr6	29944211	44138872	-0.001139
chr6	44139180	44449308	0.565708
chr6	44449309	154510930	-0.032071
chr6	154681229	154963674	-1.017417
chr6	155127074	161202483	0.022475
chr6	161231738	165309866	-0.722708
chr6	165327067	170585002	-0.009333
chr7	192804	7798814	0.373235
chr7	7801411	52617048	0.513264
chr7	52774412	54752256	2.113437
chr7	54752257	55200721	4.319125
chr7	55200941	55906697	1.878551
chr7	55911390	77005178	0.327259
chr7	77005210	103299862	0.43724
chr7	103299878	141779043	0.513328
chr7	141779044	142483256	0.910997
chr7	142487659	142508037	0.745228
chr7	142511305	142762638	0.731397
chr7	142762639	150750187	0.554993
chr7	150790090	159307366	0.412292
chr8	202357	144880692	-0.046391
chr8	144880693	145055371	0.682637
chr9	58902	9575095	-0.011702
chr9	9621200	19102667	-0.880421
chr9	19102668	19118208	-0.91229
chr9	19118209	21385733	-0.825317
chr9	21408849	21512525	-2.945603
chr9	21675239	21867360	-0.763295
chr9	21930691	22732663	-3.37406
chr9	22894663	25616355	-0.427337
chr9	25676117	27292793	-1.000072
chr9	27293985	138219683	-0.060023
chr10	46813	813521	-0.906441
chr10	814272	3147400	-0.930945
chr10	3147401	3779013	-1.026464
chr10	3779014	5094486	-0.703311
chr10	5095920	5526529	-0.691451
chr10	5638621	5640680	-1.011386
chr10	5640681	7721221	-0.90247
chr10	7721388	7732751	-0.775777
chr10	7734618	13630755	-1.044079
chr10	13643439	13647325	-1.01236
chr10	13651554	16511248	-1.014221
chr10	16511249	16515052	-0.734338
chr10	16520190	17319012	-0.747614
chr10	17319943	17841128	-0.915258
chr10	17844871	19491914	-0.971013
chr10	19498174	22210326	-0.868396
chr10	22251995	27181852	-0.975773
chr10	27186118	27414648	-0.991267
chr10	27478789	30026664	-0.869976
chr10	30026665	32920705	-0.968613
chr10	32921981	38407388	-0.872462
chr10	38447389	44984361	-0.834669
chr10	44984510	45817791	-0.904772
chr10	45825603	45844672	-2.322447
chr10	45910297	48178335	-0.889985
chr10	48182047	48832933	-0.745669
chr10	48834245	50991853	-0.844878
chr10	51073897	51145884	-1.13283
chr10	51152869	62194144	-0.828477
chr10	62194145	62197032	-0.815058
chr10	62197033	68283085	-0.827124
chr10	68283086	69267528	-1.09926
chr10	69267529	70219170	-0.927557
chr10	70233000	71397195	-0.799166
chr10	71439337	71927541	-0.706519
chr10	71964077	72013832	-0.845668
chr10	72058767	73913161	-0.908081
chr10	73913162	73917252	-0.864902
chr10	73917253	76558949	-0.913404
chr10	76558950	76681880	-0.604671
chr10	76842667	80336505	-0.853089
chr10	80338101	84258735	-0.862747
chr10	84328375	89711385	-0.823505
chr10	89713773	95069805	-0.965701
chr10	95125238	95610580	-0.984945
chr10	95611041	96586856	-0.838113
chr10	96586857	96908032	-1.031485
chr10	96948718	97048292	-0.863114
chr10	97048739	97585141	-0.905077
chr10	97589462	98395822	-0.895705
chr10	98397127	100057430	-0.873793
chr10	100063148	100065764	-0.862647
chr10	100069430	101015845	-0.947477
chr10	101016074	101557243	-0.969239
chr10	101578631	102482131	-0.932364
chr10	102482765	104032489	-0.950098
chr10	104032490	104316422	-0.784457
chr10	104328560	104642257	-0.946873
chr10	104753532	112284203	-0.820147
chr10	112284255	113657606	-0.833328
chr10	113662322	113679822	-1.12529
chr10	113679823	114473450	-0.861952
chr10	114473589	114900077	-0.877929
chr10	114937844	118307338	-0.906971
chr10	118307339	119160174	-0.983461
chr10	119160688	120908685	-0.943005
chr10	120908686	122050785	-1.097054
chr10	122082282	122143968	-1.016828
chr10	122163206	122698708	-0.921652
chr10	122699065	124706812	-0.849872
chr10	124739286	124742794	-0.778259
chr10	124743844	127146381	-0.907716
chr10	127153474	127248427	-0.874011
chr10	127257053	128100964	-0.809283
chr10	128101044	128105605	-0.531757
chr10	128105606	131955821	-0.879005
chr10	131955822	131959676	-1.089636
chr10	131959677	132204243	-0.974077
chr10	132204495	132307776	-0.880501
chr10	132323759	132786254	-0.936544
chr10	132808105	132811334	-1.047978
chr10	132812486	132920471	-1.005757
chr10	132921854	133240575	-1.100967
chr10	133240617	133454409	-1.081558
chr10	133455926	133659835	-0.474988
chr11	196468	321153	0.434251
chr11	369552	4388815	-0.058183
chr11	4389327	7001792	0.28464
chr11	7002427	134987037	-0.017841
chr12	12553	93411392	-0.021385
chr12	93411393	93441495	-1.529981
chr12	93441496	132679865	-0.105892
chr12	132679866	133038142	-0.481654
chr12	133040846	133253937	0.565084
chr13	18173243	114346795	-0.028574
chr14	18600812	24340346	0.07479
chr14	24365346	91416929	-0.078713
chr14	91416930	92131379	-0.324039
chr14	92133702	106088575	-0.035307
chr14	106116610	106335307	-0.992725
chr14	106349366	106875189	0.198227
chr15	19909341	20239771	-0.135658
chr15	20240438	20277097	-0.354657
chr15	20283286	101759717	-0.055815
chr15	101759718	101877191	0.523052
chr16	12646	113101	0.670106
chr16	116964	90167360	-0.085989
chr17	153493	83240639	-0.084934
chr18	47146	80247707	-0.037618
chr19	110367	1036735	0.288985
chr19	1037298	3661316	0.386259
chr19	3661547	4512408	0.251348
chr19	4512409	8876515	0.367554
chr19	8882141	8937499	0.538344
chr19	8937500	22117531	0.385897
chr19	22179710	22304092	0.425876
chr19	22304436	34964336	0.330211
chr19	34995708	43919235	0.458042
chr19	43919236	44430292	0.696086
chr19	44430293	48882495	0.304502
chr19	48883548	50860647	0.358704
chr19	50873082	53580156	0.530856
chr19	53580157	54170032	0.247868
chr19	54171628	54730066	0.599878
chr19	54734958	54866590	0.641445
chr19	54866591	57254226	0.415122
chr19	57254227	58368150	0.548138
chr19	58368151	58582185	1.024761
chr20	87369	17658982	0.465892
chr20	17658983	17659488	0.026998
chr20	17659489	25304111	0.53074
chr20	25306580	38361068	0.424888
chr20	38363645	64328240	0.479681
chr21	5034202	10491474	-0.256818
chr21	10513854	46194020	-0.072866
chr21	46194259	46490951	-0.36287
chr21	46496691	46665311	0.576644
chr22	10685383	32475779	-0.058782
chr22	32478660	33242734	0.599994
chr22	33272619	50570048	-0.092567
chr22	50570049	50799370	0.360065
chrX	2781702	8466747	-0.896221
chrX	8479709	8508068	-3.783808
chrX	8528972	48297077	-0.85479
chrX	48299335	48305144	-0.811341
chrX	48347235	141003518	-0.836177
chrX	141003519	141626920	-0.826816
chrX	141695575	155613199	-0.809957
chrY	3851589	56840776	-0.527455
